2022-02-17
7735   2021-11-10   intitle:"index of" " fileadmin "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7752   2021-11-10   site:pastebin.com "password"   Krishna Agarwal   Files Containing Passwords   PASSWORDS!!! Google found PASSWORDS!
7747   2021-11-10   intitle:"index of" "hello.bat "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7749   2021-11-10   intitle:"index of" Servlet"   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7746   2021-11-10   intitle:"index of" "browser.inc "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7753   2021-11-10   inurl:pastebin "API_KEY"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7756   2021-11-10   intitle:"index of" "data*"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7755   2021-11-10   inurl:login.php site:.in   Krishna Agarwal   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7736   2021-11-10   intitle:"index of" " YaBB.pl "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7723   2021-11-10   site:smtp3.*.*/login   Anirudh Kumar Kushwaha   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7745   2021-11-10   intitle:"index of" "msadcs.dll "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7728   2021-11-10   intitle:"index of" "/students"   Priyanshu Choudhary   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7731   2021-11-10   intext:"Index of /chatlogs"   Kashish rohilla   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7751   2021-11-10   inurl:product-list.php?id=   Krishna Agarwal   Sensitive Online Shopping Info   Examples of queries that can reveal online shopping infomation like customer data, suppliers, orders, credit card numbers, credit card info, etc
7757   2021-11-10   intitle:"index of" "document*.pdf"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7730   2021-11-10   site:.edu intext:"index of" "logs"   Anirudh Kumar Kushwaha   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7727   2021-11-10   inurl:.php?=*php site:.nic.in   Sagar Jana   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7733   2021-11-10   site: com intext " organisation data" filetype:xls   Sonali Bhutad   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7714   2021-11-09   "index of" :excel documents   Renuka Kharat   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7712   2021-11-09   intitle:"index of" "certificates"   Chinmay Divekar   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7692   2021-11-09   site:*.in inurl: admin login   Ritika Keni   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7715   2021-11-09   intitle:"index of" :mobile number   Renuka Kharat   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7709   2021-11-09   intitle:"Index of" "system32"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7711   2021-11-09   intitle:"Index of" *.py   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7689   2021-11-09   index of:"customer/login"   Onkar Deshmukh   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7710   2021-11-09   intitle:"Index of" "Program files"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
